AAPL,Date_AAPL,MSFT,Date_MSFT,GOOGL,Date_GOOGL,TSLA,Date_TSLA
AAPL,,MSFT,,GOOGL,,TSLA,
187.2653350830078,2023-09-01,322.4398193359375,2023-09-01,134.5479736328125,2023-09-01,245.00999450683594,2023-09-01
187.50253295898438,2023-09-05,327.23724365234375,2023-09-05,134.6570587158203,2023-09-05,256.489990234375,2023-09-05
180.7911834716797,2023-09-06,326.5799865722656,2023-09-06,133.35780334472656,2023-09-06,251.9199981689453,2023-09-06
175.50318908691406,2023-09-07,323.66619873046875,2023-09-07,134.1512451171875,2023-09-07,251.49000549316406,2023-09-07
176.11599731445312,2023-09-08,327.94366455078125,2023-09-08,135.26205444335938,2023-09-08,248.5,2023-09-08
177.28228759765625,2023-09-11,331.544189453125,2023-09-11,135.79763793945312,2023-09-11,273.5799865722656,2023-09-11
174.25778198242188,2023-09-12,325.490966796875,2023-09-12,134.2305908203125,2023-09-12,267.4800109863281,2023-09-12
172.19198608398438,2023-09-13,329.6997985839844,2023-09-13,135.58935546875,2023-09-13,271.29998779296875,2023-09-13
173.70425415039062,2023-09-14,332.28985595703125,2023-09-14,136.9679718017578,2023-09-14,276.0400085449219,2023-09-14
172.9827117919922,2023-09-15,323.9703063964844,2023-09-15,136.27369689941406,2023-09-15,274.3900146484375,2023-09-15
175.90841674804688,2023-09-18,322.832275390625,2023-09-18,137.0770721435547,2023-09-18,265.2799987792969,2023-09-18
176.99571228027344,2023-09-19,322.4300231933594,2023-09-19,136.908447265625,2023-09-19,266.5,2023-09-19
173.45716857910156,2023-09-20,314.6990966796875,2023-09-20,132.64370727539062,2023-09-20,262.5899963378906,2023-09-20
171.91519165039062,2023-09-21,313.482666015625,2023-09-21,129.3707733154297,2023-09-21,255.6999969482422,2023-09-21
172.7652587890625,2023-09-22,311.0103759765625,2023-09-22,129.1822967529297,2023-09-22,244.8800048828125,2023-09-22
174.04031372070312,2023-09-25,311.5302734375,2023-09-25,130.0352783203125,2023-09-25,246.99000549316406,2023-09-25
169.96804809570312,2023-09-26,306.2325134277344,2023-09-26,127.51610565185547,2023-09-26,244.1199951171875,2023-09-26
168.45574951171875,2023-09-27,306.87017822265625,2023-09-27,129.46994018554688,2023-09-27,240.5,2023-09-27
168.7127227783203,2023-09-28,307.7040710449219,2023-09-28,131.22543334960938,2023-09-28,246.3800048828125,2023-09-28
169.22671508789062,2023-09-29,309.7741394042969,2023-09-29,129.78729248046875,2023-09-29,250.22000122070312,2023-09-29
171.73727416992188,2023-10-02,315.70965576171875,2023-10-02,133.07015991210938,2023-10-02,251.60000610351562,2023-10-02
170.4029083251953,2023-10-03,307.4588928222656,2023-10-03,131.34445190429688,2023-10-03,246.52999877929688,2023-10-03
171.64834594726562,2023-10-04,312.9233703613281,2023-10-04,134.13140869140625,2023-10-04,261.1600036621094,2023-10-04
172.88385009765625,2023-10-05,313.31585693359375,2023-10-05,133.9628143310547,2023-10-05,260.04998779296875,2023-10-05
175.43399047851562,2023-10-06,321.0663146972656,2023-10-06,136.4522247314453,2023-10-06,260.5299987792969,2023-10-06
176.9166259765625,2023-10-09,323.5778503417969,2023-10-09,137.2853240966797,2023-10-09,259.6700134277344,2023-10-09
176.32354736328125,2023-10-10,322.1749267578125,2023-10-10,136.9282684326172,2023-10-10,263.6199951171875,2023-10-10
177.71722412109375,2023-10-11,326.1286926269531,2023-10-11,139.3978729248047,2023-10-11,262.989990234375,2023-10-11
178.61668395996094,2023-10-12,324.8925476074219,2023-10-12,137.83084106445312,2023-10-12,258.8699951171875,2023-10-12
176.77821350097656,2023-10-13,321.5274353027344,2023-10-13,136.23402404785156,2023-10-13,251.1199951171875,2023-10-13
176.64974975585938,2023-10-16,326.344482421875,2023-10-16,137.9597625732422,2023-10-16,253.9199981689453,2023-10-16
175.097900390625,2023-10-17,325.7754821777344,2023-10-17,138.57470703125,2023-10-17,254.85000610351562,2023-10-17
173.80307006835938,2023-10-18,323.8623962402344,2023-10-18,136.8291015625,2023-10-18,242.67999267578125,2023-10-18
173.427490234375,2023-10-19,325.04949951171875,2023-10-19,136.62083435058594,2023-10-19,220.11000061035156,2023-10-19
170.8773956298828,2023-10-20,320.4875183105469,2023-10-20,134.48846435546875,2023-10-20,211.99000549316406,2023-10-20
170.99600219726562,2023-10-23,323.08734130859375,2023-10-23,135.38107299804688,2023-10-23,212.0800018310547,2023-10-23
171.43089294433594,2023-10-24,324.2744140625,2023-10-24,137.67213439941406,2023-10-24,216.52000427246094,2023-10-24
169.1179962158203,2023-10-25,334.2225341796875,2023-10-25,124.5803451538086,2023-10-25,212.4199981689453,2023-10-25
164.95677185058594,2023-10-26,321.6844787597656,2023-10-26,121.27764129638672,2023-10-26,205.75999450683594,2023-10-26
166.2713623046875,2023-10-27,323.5680847167969,2023-10-27,121.16853332519531,2023-10-27,207.3000030517578,2023-10-27
168.3173828125,2023-10-30,330.9261169433594,2023-10-30,123.43976593017578,2023-10-30,197.36000061035156,2023-10-30
168.79180908203125,2023-10-31,331.7109680175781,2023-10-31,123.0628890991211,2023-10-31,200.83999633789062,2023-10-31
171.9547576904297,2023-11-01,339.5203552246094,2023-11-01,125.41345977783203,2023-11-01,205.66000366210938,2023-11-01
175.51307678222656,2023-11-02,341.72772216796875,2023-11-02,126.44493103027344,2023-11-02,218.50999450683594,2023-11-02
174.60369873046875,2023-11-03,346.1229553222656,2023-11-03,128.041748046875,2023-11-03,219.9600067138672,2023-11-03
177.15382385253906,2023-11-06,349.7823181152344,2023-11-06,129.1822967529297,2023-11-06,219.27000427246094,2023-11-06
179.7137908935547,2023-11-07,353.7066955566406,2023-11-07,129.8964080810547,2023-11-07,222.17999267578125,2023-11-07
180.77142333984375,2023-11-08,356.3261413574219,2023-11-08,130.75929260253906,2023-11-08,222.11000061035156,2023-11-08
180.29698181152344,2023-11-09,353.8636779785156,2023-11-09,129.17239379882812,2023-11-09,209.97999572753906,2023-11-09
184.48350524902344,2023-11-10,362.6736755371094,2023-11-10,131.50311279296875,2023-11-10,214.64999389648438,2023-11-10
182.89996337890625,2023-11-13,359.74029541015625,2023-11-13,131.00723266601562,2023-11-13,223.7100067138672,2023-11-13
185.51283264160156,2023-11-14,363.2623291015625,2023-11-14,132.524658203125,2023-11-14,237.41000366210938,2023-11-14
186.0769500732422,2023-11-15,363.4097900390625,2023-11-15,133.51649475097656,2023-11-15,242.83999633789062,2023-11-15
187.7594757080078,2023-11-16,369.7996826171875,2023-11-16,135.80755615234375,2023-11-16,233.58999633789062,2023-11-16
187.73968505859375,2023-11-17,363.58673095703125,2023-11-17,134.20083618164062,2023-11-17,234.3000030517578,2023-11-17
189.48155212402344,2023-11-20,371.04815673828125,2023-11-20,135.1331329345703,2023-11-20,235.60000610351562,2023-11-20
188.67987060546875,2023-11-21,366.7521667480469,2023-11-21,135.8472442626953,2023-11-21,241.1999969482422,2023-11-21
189.34300231933594,2023-11-22,371.4512634277344,2023-11-22,137.35475158691406,2023-11-22,234.2100067138672,2023-11-22
188.01678466796875,2023-11-24,371.0384216308594,2023-11-24,135.56951904296875,2023-11-24,235.4499969482422,2023-11-24
187.83863830566406,2023-11-27,372.1983947753906,2023-11-27,135.2918243408203,2023-11-27,236.0800018310547,2023-11-27
188.44236755371094,2023-11-28,376.2191162109375,2023-11-28,136.0753173828125,2023-11-28,246.72000122070312,2023-11-28
187.42295837402344,2023-11-29,372.4343566894531,2023-11-29,133.88345336914062,2023-11-29,244.13999938964844,2023-11-29
187.99700927734375,2023-11-30,372.4933166503906,2023-11-30,131.443603515625,2023-11-30,240.0800018310547,2023-11-30
189.27371215820312,2023-12-01,368.1678466796875,2023-12-01,130.7790985107422,2023-12-01,238.8300018310547,2023-12-01
187.4823455810547,2023-12-04,362.88873291015625,2023-12-04,128.2103271484375,2023-12-04,235.5800018310547,2023-12-04
191.43130493164062,2023-12-05,366.21148681640625,2023-12-05,129.916259765625,2023-12-05,238.72000122070312,2023-12-05
190.34262084960938,2023-12-06,362.5544738769531,2023-12-06,128.95419311523438,2023-12-06,239.3699951171875,2023-12-06
192.2725830078125,2023-12-07,364.6681213378906,2023-12-07,135.80755615234375,2023-12-07,242.63999938964844,2023-12-07
193.69776916503906,2023-12-08,367.892578125,2023-12-08,133.88345336914062,2023-12-08,243.83999633789062,2023-12-08
191.1937713623047,2023-12-11,365.01214599609375,2023-12-11,132.19737243652344,2023-12-11,239.74000549316406,2023-12-11
192.70806884765625,2023-12-12,368.0400390625,2023-12-12,131.43370056152344,2023-12-12,237.00999450683594,2023-12-12
195.92465209960938,2023-12-13,368.0301818847656,2023-12-13,131.48329162597656,2023-12-13,239.2899932861328,2023-12-13
